src,dst,bw_mb
n0020,n0006,18.8
n0020,n0011,0.1
n0020,n0046,56.0
n0021,n0033,12.9
n0021,n0045,4.7
n0021,n0022,19.9
n0021,n0024,1.5
n0022,n0021,19.9
n0022,n0033,0.3
n0022,n0026,2.5
n0022,n0024,32.0
n0022,n0045,19.6
n0023,n0041,2.6
n0023,n0008,0.6
n0023,n0037,38.8
n0023,n0032,12.9
n0024,n0021,1.5
n0024,n0022,32.0
n0025,n0041,3.1
n0026,n0022,2.5
n0028,n0047,14.7
n0029,n0030,5.0
n0030,n0029,5.0
n0030,n0011,21.7
n0030,n0035,1.9
n0030,n0002,0.4
n0031,n0009,9.6
n0031,n0047,0.0
n0032,n0023,12.9
n0033,n0021,12.9
n0033,n0022,0.3
n0033,n0045,16.3
n0035,n0030,1.9
n0035,n0011,12.4
n0035,n0006,0.0
n0037,n0023,38.8
n0037,n0041,1.8
n0038,n0043,1.7
n0039,n0002,1.5
n0039,n0011,4.9
n0041,n0023,2.6
n0041,n0025,3.1
n0041,n0037,1.8
n0041,n0008,4.2
n0043,n0038,1.7
n0045,n0021,4.7
n0045,n0022,19.6
n0045,n0033,16.3
n0046,n0020,56.0
n0046,n0006,9.8
n0047,n0028,14.7
n0047,n0031,0.0
n0002,n0030,0.4
n0002,n0039,1.5
n0002,n0011,28.5
n0002,n0005,0.1
n0003,n0017,14.4
n0003,n0004,11.5
n0003,n0016,9.4
n0004,n0003,11.5
n0004,n0017,42.9
n0004,n0016,11.7
n0004,n0015,0.6
n0005,n0002,0.1
n0005,n0011,12.9
n0006,n0020,18.8
n0006,n0035,0.0
n0006,n0046,9.8
n0008,n0023,0.6
n0008,n0041,4.2
n0009,n0031,9.6
n0011,n0020,0.1
n0011,n0030,21.7
n0011,n0035,12.4
n0011,n0039,4.9
n0011,n0002,28.5
n0011,n0005,12.9
n0012,n0014,46.9
n0013,n0018,6.0
n0014,n0012,46.9
n0015,n0016,3.3
n0015,n0004,0.6
n0016,n0003,9.4
n0016,n0004,11.7
n0016,n0015,3.3
n0016,n0017,12.0
n0017,n0003,14.4
n0017,n0004,42.9
n0017,n0016,12.0
n0018,n0013,6.0
