src,dst,next_hop
n0020,n0006,n0006
n0020,n0011,n0011
n0020,n0046,n0046
n0020,n0035,n0006
n0020,n0030,n0011
n0020,n0039,n0011
n0020,n0002,n0011
n0020,n0005,n0011
n0020,n0029,n0011
n0006,n0020,n0020
n0006,n0011,n0020
n0006,n0046,n0046
n0006,n0035,n0035
n0006,n0030,n0035
n0006,n0039,n0020
n0006,n0002,n0020
n0006,n0005,n0020
n0006,n0029,n0035
n0011,n0020,n0020
n0011,n0006,n0020
n0011,n0046,n0020
n0011,n0035,n0035
n0011,n0030,n0030
n0011,n0039,n0039
n0011,n0002,n0002
n0011,n0005,n0005
n0011,n0029,n0030
n0046,n0020,n0020
n0046,n0006,n0006
n0046,n0011,n0020
n0046,n0035,n0006
n0046,n0030,n0020
n0046,n0039,n0020
n0046,n0002,n0020
n0046,n0005,n0020
n0046,n0029,n0020
n0035,n0020,n0011
n0035,n0006,n0006
n0035,n0011,n0011
n0035,n0046,n0006
n0035,n0030,n0030
n0035,n0039,n0011
n0035,n0002,n0030
n0035,n0005,n0011
n0035,n0029,n0030
n0030,n0020,n0011
n0030,n0006,n0035
n0030,n0011,n0011
n0030,n0046,n0011
n0030,n0035,n0035
n0030,n0039,n0011
n0030,n0002,n0002
n0030,n0005,n0011
n0030,n0029,n0029
n0039,n0020,n0011
n0039,n0006,n0011
n0039,n0011,n0011
n0039,n0046,n0011
n0039,n0035,n0011
n0039,n0030,n0002
n0039,n0002,n0002
n0039,n0005,n0002
n0039,n0029,n0002
n0002,n0020,n0011
n0002,n0006,n0030
n0002,n0011,n0011
n0002,n0046,n0011
n0002,n0035,n0030
n0002,n0030,n0030
n0002,n0039,n0039
n0002,n0005,n0005
n0002,n0029,n0030
n0005,n0020,n0011
n0005,n0006,n0011
n0005,n0011,n0011
n0005,n0046,n0011
n0005,n0035,n0011
n0005,n0030,n0002
n0005,n0039,n0002
n0005,n0002,n0002
n0005,n0029,n0002
n0029,n0020,n0030
n0029,n0006,n0030
n0029,n0011,n0030
n0029,n0046,n0030
n0029,n0035,n0030
n0029,n0030,n0030
n0029,n0039,n0030
n0029,n0002,n0030
n0029,n0005,n0030
