src,dst,bw_mbps
n0020,n0006,18.8
n0020,n0046,56.0
n0021,n0033,12.9
n0021,n0022,19.9
n0022,n0021,19.9
n0022,n0024,32.0
n0022,n0045,19.6
n0023,n0037,38.8
n0023,n0032,12.9
n0024,n0022,32.0
n0028,n0047,14.7
n0030,n0011,21.7
n0031,n0009,9.6
n0032,n0023,12.9
n0033,n0021,12.9
n0033,n0045,16.3
n0035,n0011,12.4
n0037,n0023,38.8
n0045,n0022,19.6
n0045,n0033,16.3
n0046,n0020,56.0
n0046,n0006,9.8
n0047,n0028,14.7
n0002,n0011,28.5
n0003,n0017,14.4
n0003,n0004,11.5
n0003,n0016,9.4
n0004,n0003,11.5
n0004,n0017,42.9
n0004,n0016,11.7
n0005,n0011,12.9
n0006,n0020,18.8
n0006,n0046,9.8
n0009,n0031,9.6
n0011,n0030,21.7
n0011,n0035,12.4
n0011,n0002,28.5
n0011,n0005,12.9
n0012,n0014,46.9
n0013,n0018,6.0
n0014,n0012,46.9
n0016,n0003,9.4
n0016,n0004,11.7
n0016,n0017,12.0
n0017,n0003,14.4
n0017,n0004,42.9
n0017,n0016,12.0
n0018,n0013,6.0
