src,dst,next_hop
n0020,n0046,n0046
n0020,n0006,n0006
n0021,n0022,n0022
n0021,n0024,n0022
n0021,n0033,n0033
n0021,n0045,n0033
n0022,n0021,n0021
n0022,n0024,n0024
n0022,n0033,n0021
n0022,n0045,n0045
n0023,n0032,n0032
n0023,n0037,n0037
n0024,n0021,n0022
n0024,n0022,n0022
n0024,n0033,n0022
n0024,n0045,n0022
n0028,n0047,n0047
n0030,n0035,n0011
n0030,n0002,n0011
n0030,n0005,n0011
n0030,n0011,n0011
n0031,n0009,n0009
n0032,n0023,n0023
n0032,n0037,n0023
n0033,n0021,n0021
n0033,n0022,n0021
n0033,n0024,n0021
n0033,n0045,n0045
n0035,n0030,n0011
n0035,n0002,n0011
n0035,n0005,n0011
n0035,n0011,n0011
n0037,n0023,n0023
n0037,n0032,n0023
n0045,n0021,n0022
n0045,n0022,n0022
n0045,n0024,n0022
n0045,n0033,n0033
n0046,n0020,n0020
n0046,n0006,n0006
n0047,n0028,n0028
n0002,n0030,n0011
n0002,n0035,n0011
n0002,n0005,n0011
n0002,n0011,n0011
n0003,n0004,n0004
n0003,n0016,n0016
n0003,n0017,n0017
n0004,n0003,n0003
n0004,n0016,n0016
n0004,n0017,n0017
n0005,n0030,n0011
n0005,n0035,n0011
n0005,n0002,n0011
n0005,n0011,n0011
n0006,n0020,n0020
n0006,n0046,n0046
n0009,n0031,n0031
n0011,n0030,n0030
n0011,n0035,n0035
n0011,n0002,n0002
n0011,n0005,n0005
n0012,n0014,n0014
n0013,n0018,n0018
n0014,n0012,n0012
n0016,n0003,n0003
n0016,n0004,n0004
n0016,n0017,n0017
n0017,n0003,n0003
n0017,n0004,n0004
n0017,n0016,n0016
n0018,n0013,n0013
