src,dst,next_hop
n0020,n0030,n0011
n0020,n0035,n0006
n0020,n0039,n0011
n0020,n0046,n0046
n0020,n0002,n0011
n0020,n0005,n0011
n0020,n0006,n0006
n0020,n0011,n0011
n0021,n0022,n0022
n0021,n0024,n0024
n0021,n0033,n0033
n0021,n0045,n0045
n0022,n0021,n0021
n0022,n0024,n0024
n0022,n0033,n0033
n0022,n0045,n0045
n0023,n0037,n0037
n0023,n0041,n0041
n0023,n0008,n0008
n0024,n0021,n0021
n0024,n0022,n0022
n0024,n0033,n0021
n0024,n0045,n0021
n0030,n0020,n0011
n0030,n0035,n0035
n0030,n0039,n0011
n0030,n0046,n0011
n0030,n0002,n0002
n0030,n0005,n0011
n0030,n0006,n0035
n0030,n0011,n0011
n0031,n0047,n0047
n0033,n0021,n0021
n0033,n0022,n0022
n0033,n0024,n0021
n0033,n0045,n0045
n0035,n0020,n0011
n0035,n0030,n0030
n0035,n0039,n0011
n0035,n0046,n0006
n0035,n0002,n0030
n0035,n0005,n0011
n0035,n0006,n0006
n0035,n0011,n0011
n0037,n0023,n0023
n0037,n0041,n0041
n0037,n0008,n0023
n0039,n0020,n0011
n0039,n0030,n0002
n0039,n0035,n0011
n0039,n0046,n0011
n0039,n0002,n0002
n0039,n0005,n0002
n0039,n0006,n0011
n0039,n0011,n0011
n0041,n0023,n0023
n0041,n0037,n0037
n0041,n0008,n0008
n0045,n0021,n0021
n0045,n0022,n0022
n0045,n0024,n0021
n0045,n0033,n0033
n0046,n0020,n0020
n0046,n0030,n0020
n0046,n0035,n0006
n0046,n0039,n0020
n0046,n0002,n0020
n0046,n0005,n0020
n0046,n0006,n0006
n0046,n0011,n0020
n0047,n0031,n0031
n0002,n0020,n0011
n0002,n0030,n0030
n0002,n0035,n0030
n0002,n0039,n0039
n0002,n0046,n0011
n0002,n0005,n0005
n0002,n0006,n0030
n0002,n0011,n0011
n0003,n0004,n0004
n0003,n0015,n0004
n0003,n0016,n0016
n0003,n0017,n0017
n0004,n0003,n0003
n0004,n0015,n0015
n0004,n0016,n0016
n0004,n0017,n0017
n0005,n0020,n0011
n0005,n0030,n0002
n0005,n0035,n0011
n0005,n0039,n0002
n0005,n0046,n0011
n0005,n0002,n0002
n0005,n0006,n0011
n0005,n0011,n0011
n0006,n0020,n0020
n0006,n0030,n0035
n0006,n0035,n0035
n0006,n0039,n0020
n0006,n0046,n0046
n0006,n0002,n0020
n0006,n0005,n0020
n0006,n0011,n0020
n0008,n0023,n0023
n0008,n0037,n0023
n0008,n0041,n0041
n0011,n0020,n0020
n0011,n0030,n0030
n0011,n0035,n0035
n0011,n0039,n0039
n0011,n0046,n0020
n0011,n0002,n0002
n0011,n0005,n0005
n0011,n0006,n0020
n0015,n0003,n0016
n0015,n0004,n0004
n0015,n0016,n0016
n0015,n0017,n0016
n0016,n0003,n0003
n0016,n0004,n0004
n0016,n0015,n0015
n0016,n0017,n0017
n0017,n0003,n0003
n0017,n0004,n0004
n0017,n0015,n0004
n0017,n0016,n0016
