Interval,Transfer,Bitrate,Retr,Cwnd
0.00,2.6,21.8,0,80.6
1.00,2.44,20.5,0,80.6
2.00,2.25,18.9,0,80.6
3.00,2.25,18.9,0,80.6
4.00,2.25,18.9,0,80.6
5.00,2.44,20.5,0,80.6
6.00,2.25,18.9,0,80.6
7.00,2.44,20.5,0,80.6
8.00,2.44,20.5,0,80.6
9.00,2.44,20.5,0,107.0
10.00,2.35,19.7,0,107.0
11.00,2.35,19.7,0,107.0
12.00,2.35,19.7,0,107.0
13.00,2.11,17.7,0,107.0
14.00,2.35,19.7,0,107.0
15.00,2.35,19.7,0,107.0
16.00,2.35,19.7,0,107.0
17.00,2.35,19.7,0,107.0
18.00,2.11,17.7,0,107.0
19.00,2.38,19.9,0,107.0
20.00,2.17,18.2,0,107.0
21.00,2.17,18.2,0,107.0
22.00,2.42,20.3,0,107.0
23.00,2.53,21.2,0,154.0
24.00,2.26,19.0,0,154.0
25.00,2.26,19.0,0,154.0
26.00,2.26,19.0,0,154.0
27.00,2.26,19.0,0,154.0
28.00,2.59,21.7,0,154.0
29.00,2.26,19.0,0,154.0
30.00,1.94,16.3,0,154.0
31.00,2.26,19.0,0,154.0
32.00,2.29,19.2,0,154.0
33.00,2.09,17.5,0,154.0
34.00,2.09,17.5,0,154.0
35.00,2.09,17.5,0,154.0
36.00,2.09,17.5,0,154.0
37.00,2.49,20.9,0,154.0
38.00,2.17,18.2,0,154.0
39.00,2.17,18.2,0,154.0
40.00,2.17,18.2,0,154.0
41.00,2.49,20.9,0,154.0
42.00,2.17,18.2,0,154.0
43.00,2.17,18.2,0,154.0
44.00,2.49,20.9,0,154.0
45.00,2.17,18.2,0,154.0
46.00,2.17,18.2,0,154.0
47.00,2.17,18.2,0,154.0
48.00,2.17,18.2,0,154.0
49.00,2.49,20.9,0,154.0
50.00,2.17,18.2,0,154.0
51.00,2.17,18.2,0,154.0
52.00,2.17,18.2,0,154.0
53.00,2.17,18.2,0,154.0
54.00,2.49,20.9,0,154.0
55.00,2.17,18.2,0,154.0
56.00,2.17,18.2,0,154.0
57.00,2.49,20.9,0,154.0
58.00,2.17,18.2,0,154.0
59.00,2.17,18.2,0,154.0
60.00,2.17,18.2,0,154.0
61.00,2.49,20.9,0,154.0
62.00,2.17,18.2,0,154.0
63.00,2.17,18.2,0,154.0
64.00,2.17,18.2,0,154.0
65.00,2.17,18.2,0,154.0
66.00,2.17,18.2,0,154.0
67.00,2.17,18.2,0,154.0
68.00,1.86,15.6,0,154.0
69.00,2.49,20.9,0,154.0
70.00,2.17,18.2,0,154.0
71.00,2.17,18.2,0,154.0
72.00,2.17,18.2,0,154.0
73.00,2.17,18.2,0,154.0
74.00,1.86,15.6,0,154.0
75.00,2.49,20.9,0,154.0
76.00,2.17,18.2,0,154.0
77.00,2.17,18.2,0,154.0
78.00,2.17,18.2,0,154.0
79.00,2.17,18.2,0,154.0
80.00,1.86,15.6,0,154.0
81.00,1.86,15.6,0,154.0
82.00,2.17,18.2,0,154.0
83.00,2.17,18.2,0,154.0
84.00,2.17,18.2,0,154.0
85.00,2.17,18.2,0,154.0
86.00,2.17,18.2,0,154.0
87.00,2.17,18.2,0,154.0
88.00,2.17,18.2,0,154.0
89.00,2.17,18.2,0,154.0
90.00,2.17,18.2,0,154.0
91.00,2.17,18.2,0,154.0
92.00,2.17,18.2,0,154.0
93.00,2.17,18.2,0,154.0
94.00,2.17,18.2,0,154.0
95.00,2.17,18.2,0,154.0
96.00,2.17,18.2,0,154.0
97.00,2.17,18.2,0,154.0
98.00,2.17,18.2,0,154.0
99.00,2.17,18.2,0,154.0
100.00,2.17,18.2,0,154.0
101.00,2.17,18.2,0,154.0
102.00,1.86,15.6,0,154.0
103.00,2.17,18.2,0,154.0
104.00,1.86,15.6,0,154.0
105.00,2.17,18.2,0,154.0
